city,title,language,time,money
Інше,Junior,C# / .NET,"0,5р",750
Київ,Junior,C# / .NET,4р,750
Полтава,Junior,Swift,"0,5р",750
Київ,Junior,C# / .NET,"1,5р",750
Вінниця,Junior,Java,"0,5р",750
Інше,Junior,JavaScript,"0,5р",750
Львів,Junior,Java,"0,5р",750
Київ,Intern/Trainee,Java,"0,25р",750
Чернівці,Middle,C# / .NET,2р,750
Вінниця,Junior,C# / .NET,1р,750
Миколаїв,Junior,PHP,5р,750
Київ,Junior,C++,"0,5р",750
Вінниця,Team Lead,Swift,4р,7450
Чернігів,Architect,C# / .NET,8р,7400
Київ,Intern/Trainee,Kotlin,"0,25р",740
Київ,Junior,JavaScript,"0,5р",740
Київ,Junior,JavaScript,3р,740
Львів,Senior,Kotlin,7р,7385
Київ,Middle,JavaScript,2р,734
Львів,Senior,Java,5р,7300
Вінниця,Architect,Scala,10р,7300
Київ,Team Lead,C# / .NET,10р,7300
Київ,Architect,C# / .NET,9р,7300
Інше,Senior,Go,7р,7300
Київ,Senior,Go,10р,7300
Івано-Франківськ,Junior,Salesforce Apex,"0,5р",730
Тернопіль,Junior,JavaScript,"0,5р",730
Львів,Junior,C# / .NET,1р,725
Рівне,Senior,Python,8р,7200
Київ,Middle,JavaScript,3р,7200
Харків,Senior,Java,4р,7200
Львів,Senior,TypeScript,5р,7200
Київ,Team Lead,JavaScript,4р,7200
Київ,Senior,JavaScript,5р,7200
Київ,Senior,C# / .NET,10р,7200
Львів,Team Lead,Ruby,6р,7200
Київ,Senior,Scala,10р,7200
Київ,Senior,TypeScript,10р,7200
Київ,Tech Lead,Kotlin,10р,7200
Львів,Junior,JavaScript,"0,5р",720
Київ,Junior,C# / .NET,"0,5р",720
Інше,Senior,JavaScript,5р,7150
Київ,Senior,TypeScript,5р,7140
Харків,Senior,Java,4р,7125
Харків,Senior,Kotlin,6р,7125
Львів,Team Lead,JavaScript,7р,7125
Київ,Tech Lead,JavaScript,10р,7125
Київ,Senior,Ruby,6р,7125
Харків,Senior,Swift,10р,7125
Київ,Team Lead,Go,10р,7125
Київ,Architect,C# / .NET,10р,7125
Львів,Junior,Java,1р,711
Київ,Senior,Java,8р,7100
Харків,Senior,TypeScript,5р,7100
Київ,Senior,Java,7р,7100
Київ,Senior,Scala,10р,7100
Одеса,Senior,Swift,7р,7100
Львів,Team Lead,Python,7р,7100
Київ,Architect,"Мови розробки БД (PL/SQL, Transact-SQL)",10р,7100
Київ,Team Lead,Java,10р,7100
Київ,Senior,Java,10р,7100
Харків,Tech Lead,C# / .NET,10р,7100
Київ,Senior,Java,10р,7100
Львів,Tech Lead,JavaScript,10р,7100
Київ,Senior,TypeScript,10р,7100
Київ,Senior,Python,10р,7100
Львів,Junior,TypeScript,1р,710
Тернопіль,Junior,TypeScript,1р,710
Львів,Junior,Java,"0,5р",710
Київ,Junior,JavaScript,"0,25р",710
Дніпро,Tech Lead,Java,10р,7073
Київ,Senior,Go,10р,7050
Київ,Senior,JavaScript,5р,7000
Київ,Senior,C# / .NET,5р,7000
Хмельницький,Senior,C# / .NET,4р,7000
Київ,Senior,Go,6р,7000
Київ,Senior,JavaScript,5р,7000
Київ,Senior,C# / .NET,7р,7000
Вінниця,Senior,TypeScript,9р,7000
Харків,Team Lead,TypeScript,6р,7000
Київ,Senior,C++,10р,7000
Харків,Senior,C# / .NET,10р,7000
Київ,Senior,C# / .NET,6р,7000
Дніпро,Senior,JavaScript,5р,7000
Київ,Senior,Scala,10р,7000
Київ,Tech Lead,Dart,8р,7000
Київ,Senior,Swift,4р,7000
Дніпро,Senior,Go,10р,7000
Львів,Senior,Kotlin,10р,7000
Київ,Senior,JavaScript,5р,7000
Львів,Senior,C# / .NET,6р,7000
Інше,Team Lead,C++,10р,7000
Івано-Франківськ,Team Lead,PHP,10р,7000
Київ,Senior,C++,8р,7000
Одеса,Team Lead,TypeScript,10р,7000
Херсон,Team Lead,JavaScript,10р,7000
Тернопіль,Senior,JavaScript,6р,7000
Львів,Senior,Ruby,10р,7000
Київ,Team Lead,TypeScript,7р,7000
Харків,Tech Lead,Java,10р,7000
Київ,Tech Lead,Java,10р,7000
Київ,Senior,JavaScript,6р,7000
Київ,Senior,Scala,8р,7000
Харків,Senior,JavaScript,7р,7000
Вінниця,Tech Lead,Go,5р,7000
Київ,Senior,C,10р,7000
Київ,Team Lead,JavaScript,8р,7000
Київ,Senior,TypeScript,7р,7000
Одеса,Senior,Java,8р,7000
Львів,Team Lead,JavaScript,7р,7000
Київ,Team Lead,Swift,10р,7000
Київ,Architect,PHP,10р,7000
Київ,Tech Lead,TypeScript,6р,7000
Київ,Senior,Python,5р,7000
Львів,Architect,C# / .NET,10р,7000
Одеса,Senior,C# / .NET,6р,7000
Київ,Team Lead,C# / .NET,5р,7000
Київ,Senior,Go,6р,7000
Івано-Франківськ,Architect,C# / .NET,8р,7000
Київ,Senior,Python,7р,7000
Одеса,Senior,JavaScript,8р,7000
Київ,Team Lead,Scala,10р,7000
Київ,Tech Lead,Java,7р,7000
Київ,Team Lead,C# / .NET,10р,7000
Київ,Senior,Java,10р,7000
Львів,Tech Lead,C++,10р,7000
Одеса,Senior,Scala,9р,7000
Харків,Team Lead,C# / .NET,6р,7000
Київ,Senior,Go,10р,7000
Харків,Tech Lead,Java,9р,7000
Київ,Team Lead,Kotlin,10р,7000
Львів,Senior,PHP,6р,7000
Київ,Architect,TypeScript,10р,7000
Вінниця,Team Lead,JavaScript,10р,7000
Київ,Senior,Go,10р,7000
Дніпро,Architect,JavaScript,10р,7000
Київ,Senior,TypeScript,7р,7000
Київ,Team Lead,C# / .NET,10р,7000
Київ,Senior,JavaScript,7р,7000
Харків,Architect,C# / .NET,10р,7000
Київ,Team Lead,JavaScript,10р,7000
Дніпро,Tech Lead,PHP,10р,7000
Київ,Senior,Java,8р,7000
Київ,Senior,TypeScript,7р,7000
Київ,Senior,Kotlin,10р,7000
Київ,Senior,Java,10р,7000
Дніпро,Architect,C# / .NET,10р,7000
Київ,Architect,Java,10р,7000
Київ,Architect,Java,10р,7000
Київ,Senior,C# / .NET,10р,7000
Київ,Senior,Swift,10р,7000
Київ,Architect,Python,10р,7000
Київ,Team Lead,JavaScript,10р,7000
Київ,Team Lead,C# / .NET,10р,7000
Харків,Tech Lead,TypeScript,7р,7000
Львів,Team Lead,Swift,7р,7000
Київ,Tech Lead,C# / .NET,10р,7000
Київ,Senior,PHP,8р,7000
Харків,Architect,C# / .NET,10р,7000
Дніпро,Senior,TypeScript,10р,7000
Київ,Team Lead,JavaScript,10р,7000
Київ,Tech Lead,TypeScript,7р,7000
Миколаїв,Senior,Go,8р,7000
Київ,Team Lead,TypeScript,10р,7000
Львів,Tech Lead,PHP,10р,7000
Київ,Team Lead,C# / .NET,9р,7000
Київ,Senior,Scala,9р,7000
Київ,Team Lead,TypeScript,10р,7000
Київ,Team Lead,TypeScript,7р,7000
Київ,Tech Lead,Java,10р,7000
Київ,Architect,JavaScript,10р,7000
Кропивницький,Tech Lead,C++,10р,7000
Київ,Senior,Java,10р,7000
Харків,Tech Lead,Java,10р,7000
Інше,Senior,JavaScript,10р,7000
Вінниця,Senior,TypeScript,8р,7000
Інше,Intern/Trainee,Java,"0,25р",700
Київ,Junior,Salesforce Apex,"0,25р",700
Одеса,Junior,C++,"0,5р",700
Львів,Junior,JavaScript,"0,25р",700
Київ,Junior,Java,"0,25р",700
Львів,Junior,TypeScript,1р,700
Харків,Junior,Java,"0,5р",700
Маріуполь,Intern/Trainee,C++,"0,5р",700
Львів,Junior,JavaScript,"0,25р",700
Львів,Junior,Java,"0,5р",700
Харків,Junior,C# / .NET,"0,25р",700
Київ,Junior,Swift,"0,25р",700
Інше,Junior,C# / .NET,"0,25р",700
Київ,Junior,JavaScript,"0,5р",700
Київ,Junior,Java,"0,25р",700
Харків,Junior,Python,1р,700
Дніпро,Junior,JavaScript,"0,25р",700
Львів,Junior,JavaScript,1р,700
Харків,Junior,JavaScript,"0,5р",700
Київ,Junior,Python,"0,25р",700
Київ,Intern/Trainee,Java,"0,25р",700
Кропивницький,Junior,Kotlin,1р,700
Чернівці,Junior,TypeScript,"0,5р",700
Харків,Junior,Salesforce Apex,"0,5р",700
Черкаси,Junior,Java,1р,700
Київ,Junior,JavaScript,"0,5р",700
Дніпро,Junior,Dart,1р,700
Івано-Франківськ,Junior,PHP,3р,700
Одеса,Junior,TypeScript,1р,700
